Rank,Name,Age,Weight,Log,Deadlift,Sandbag,Yoke,Points
Rank,Name,Age,Weight,N/A,N/A,N/A,N/A,N/A
,Jan Lacina,19,126kg,164.8kg,380.0kg,7 reps,500.5kg,1058.5
,Christoph Strickland,24,163kg,163.3kg,345.0kg,7 reps,485.0kg,1029.5
,Cameron Day,33,105kg,146.7kg,345.6kg,8 reps,462.7kg,1027.5
4th,Matt Powell,39,102kg,142.9kg,362.9kg,8 reps,464.0kg,1026.5
5th,Ben Gutzky,28,103kg,152.8kg,321.5kg,8 reps,459.9kg,1021.5
5th,Oleh Pylypiak,0,145kg,191.8kg,410.0kg,6 reps,501.0kg,1021.5
7th,Joshua Walton,31,105kg,149.3kg,346.8kg,8 reps,431.6kg,1006.5
8th,Josh Harrelson,37,114kg,144.9kg,325.5kg,8 reps,461.2kg,1004.5
9th,Jared Hanner,37,118kg,144.8kg,352.3kg,8 reps,441.5kg,1003.5
10th,Jason Frawley,33,162kg,167.5kg,358.1kg,6 reps,522.2kg,1002.5
11th,Steven Bradley,31,101kg,143.0kg,351.4kg,8 reps,444.5kg,999.5
12th,Tyler Buxton,28,111kg,138.0kg,331.2kg,8 reps,461.6kg,997.5
13th,Beau Bathery,32,152kg,166.9kg,365.6kg,6 reps,482.2kg,997
14th,Tiano Fa'apoi,29,150kg,160.0kg,361.5kg,6 reps,523.8kg,995.5
15th,Nicholas O'Hare,41,90kg,136.4kg,339.3kg,9 reps,428.8kg,994.5
16th,josh king,31,105kg,148.1kg,376.7kg,7 reps,450.1kg,990.5
17th,David Kent,28,102kg,160.8kg,311.2kg,8 reps,440.0kg,988
18th,Frank Boniello,31,105kg,148.9kg,323.4kg,8 reps,435.9kg,987.5
18th,Nick Strauss,32,105kg,141.4kg,320.1kg,8 reps,465.4kg,987.5
20th,Adam Kempton,23,105kg,150.4kg,311.3kg,8 reps,450.0kg,979.5
21st,Luke Davies,36,105kg,141.2kg,365.6kg,7 reps,460.2kg,973
22nd,Niko Chaprales,38,159kg,134.0kg,408.4kg,7 reps,464.9kg,971
23rd,Alex Bromley,38,105kg,149.7kg,308.8kg,8 reps,448.6kg,968
24th,Yanick Boucher,30,129kg,143.2kg,386.1kg,6 reps,562.0kg,967.5
25th,Drew Redfern,30,125kg,145.1kg,372.6kg,6 reps,540.1kg,965.5
25th,Donald Treglia,28,181kg,164.7kg,382.4kg,5 reps,508.0kg,965.5
27th,Robert Johnson,29,104kg,154.2kg,317.5kg,8 reps,411.0kg,961.5
28th,Jack Osborn,26,133kg,194.3kg,364.9kg,5 reps,503.2kg,960.5
29th,Tyler Calabrese,33,105kg,149.0kg,319.7kg,7 reps,467.6kg,960
30th,Marc Sanchez,27,143kg,171.5kg,390.1kg,5 reps,476.5kg,957.5
31st,Colten Rhodes,30,143kg,174.1kg,371.7kg,5 reps,480.2kg,955.5
32nd,Ric Carroll,37,110kg,142.5kg,296.0kg,9 reps,447.0kg,945
33rd,Tyler Gustafson,27,166kg,172.1kg,380.5kg,5 reps,459.4kg,941.5
34th,John Haack,31,90kg,131.7kg,376.5kg,8 reps,409.4kg,939.5
35th,Peter Reinthaler,35,160kg,155.0kg,351.5kg,5 reps,502.0kg,935.5
36th,Dan Quigley,40,105kg,146.1kg,307.9kg,9 reps,389.9kg,926
37th,Maximilian Wunderlich,27,80kg,140.0kg,340.0kg,8 reps,390.0kg,924
38th,JAMES HILL,41,172kg,159.9kg,299.9kg,7 reps,454.4kg,921
39th,Daniel Pledger,40,157kg,151.7kg,328.2kg,6 reps,449.1kg,917.5
40th,Shawn Schumaker,44,105kg,143.8kg,328.9kg,9 reps,346.0kg,914.5
41st,Quinten Holley,28,127kg,154.1kg,319.8kg,6 reps,458.1kg,914
42nd,Joshua-Paul Lancaster,33,90kg,133.4kg,310.3kg,8 reps,440.7kg,910.5
43rd,Vince Wilkinson,26,105kg,139.3kg,311.2kg,9 reps,388.3kg,910
44th,Nick Tesar,21,105kg,147.9kg,326.2kg,6 reps,457.3kg,909.5
45th,Ben Court,31,146kg,164.2kg,365.3kg,4 reps,477.7kg,907
46th,Lucas Johnson,33,100kg,115.1kg,347.9kg,8 reps,437.2kg,901.5
47th,Cameron Hutchison,27,90kg,130.0kg,302.4kg,9 reps,415.0kg,896.5
48th,Blake Dedas,40,105kg,147.0kg,296.9kg,9 reps,386.0kg,894
49th,Jonathan Wulfert,31,150kg,155.4kg,350.7kg,6 reps,399.1kg,891.5
50th,Ross Manaraze,27,80kg,136.1kg,301.6kg,8 reps,420.9kg,883
Rank,Name,Age,Weight,N/A,N/A,N/A,N/A,N/A
51st,Karolis Aleksandravičius,33,157kg,150.0kg,405.0kg,3 reps,481.0kg,882.5
52nd,Dominic Tangaro,32,161kg,158.8kg,323.7kg,5 reps,452.7kg,881.5
53rd,Matt Garee,42,120kg,129.8kg,320.2kg,7 reps,442.6kg,879.5
54th,Jake Meguerditchian,30,105kg,120.2kg,320.0kg,8 reps,429.7kg,879
55th,Calvin Sexton,31,152kg,135.3kg,368.0kg,5 reps,491.0kg,878
56th,Nolan Klein,40,138kg,142.2kg,339.2kg,6 reps,434.3kg,876.5
57th,Matt Gibson,34,145kg,155.6kg,320.0kg,5 reps,459.0kg,875
58th,Michael DiPierro,33,105kg,149.7kg,318.8kg,6 reps,433.2kg,874
59th,Jack Adams,27,105kg,151.2kg,313.1kg,6 reps,433.3kg,871.5
