Lifter,Date,Fed,Location,Sex,Age,Equip,Class,Weight,Squat,Bench,Deadlift,Total,Dots
Kristy Hawkins,WRPF,2023-10-28,USA-VA,F,43,Wraps,165,163.1,683.4,336.2,578.7,1598.3,711.19
Marianna Gasparyan,WRPF,2019-04-27,USA-CA,F,30,Wraps,123,123.4,573.2,292.1,485,1350.3,709.96
Hunter Henderson #1,WRPF,2021-04-24,USA-CA,F,26,Wraps,165,163.8,650.3,325.1,573.2,1548.7,687.63
Chakera Ingram,USPA,2019-08-03,USA-TX,F,24,Wraps,181,177.2,639.3,374.8,595.2,1609.3,686.14
Stefanie Cohen,WRPF,2019-04-27,USA-CA,F,27,Wraps,123,119.9,507,242.5,529.1,1278.6,685.45
Denise Herber,WRPF,2024-04-06,USA-FL,F,33,Wraps,165,159.7,562.1,314.1,642.6,1518.9,683.64
Samantha Rice,WRPF,2023-10-28,USA-VA,F,33,Wraps,181,181.6,617.3,347.2,641.5,1606,676.54
Stacy Burr,XPC,2019-03-02,USA-OH,F,27,Wraps,148,147.6,565,320,550,1435,675.19
Chleo Van Wyk,USPA,2019-08-03,USA-TX,F,28,Wraps,181,173.2,617.3,352.7,584.2,1554.2,670.20
John Haack,PLU,2024-09-28,USA-IL,M,31,Raw,198,192.2,805.8,578.7,848.7,2233.2,665.75
Colton Engelbrecht,WPC-SA,2024-06-08,South Africa,M,23,Wraps,242,242.2,970,540.1,959,2469.1,663.61
Sarah Rainbow,WRPF-AUS,2024-03-23,Australia-TAS,F,28,Wraps,242,222,694.4,391.3,622.8,1708.5,659.56
Ashley Garcia #1,WRPF,2021-04-24,USA-CA,F,39,Wraps,165,162.4,595.2,314.1,567.7,1477.1,658.67
Yury Belkin,USA-UA,2019-08-30,USA-CA,M,28,Wraps,220,220.4,917.1,518.1,914.9,2350.1,656.14
Brianny Terry,WRPF,2023-10-28,USA-VA,F,27,Wraps,165,165.3,529.1,308.6,641.5,1479.3,653.54
Chad Penson,WRPF,2021-04-24,USA-CA,M,28,Wraps,198,195.1,881.8,512.5,804.7,2199.1,650.53
